"yine";"spanish";"source"
"Kanawa ruptekatka Geso, koprugatatka. Gipokchi yatka.";"Y subió a una barca, cruzó y llegó a su ciudad.";"bible"
"Waneklu satu giktegachri ranikyegitluna, gijeko giklugachri. Geso geta galixletna wanna. Wane chinru giktegachri, ""Kiglenshinikanupyi, Wiwi. Kaspukmukochiretkalurutkayi.""";"Y le llevaron a un hombre tendido en una cama que no tenía poder para moverse; y Jesús, al ver la fe de ellos, le dijo al hombre que estaba enfermo: Hijo, toma ánimo; tienes perdón de tus pecados.";"bible"
"Wa pimrine yonchikgapine wane chinanshinikanutna, ""Tyenwa mupashiregnuchi china.""";"Y algunos de los escribas dijeron entre sí: Este hombre no tiene respeto por Dios.";"bible"
"Rumatanshinikanutinna Geso, wane chinna, ""¿Klu chinau mugletu gyanshinikanuta gajiya?";"Y Jesús, sabiendo lo que estaba en sus mentes, dijo: ¿Por qué tienen malos pensamientos?";"bible"
"Gi rixanu ¿girni wa myapretu wane chinikolu, waka, 'Kaspukmukochiretkalurutkayi,' waka wane chinru, 'Palnanutka. Pyanamtanutka'?";"Por lo cual es más simple, decir: tienes perdón de tus pecados; o decir, levántate y vete?";"bible"
"Seyni wa gimatyaplu wa Gita Yineru Wgenno tyechijne gitaakalurno kaspukmukochirewlewatachripno"" —giyagni wane chinru giktegachri, ""Palnanutka. Pwanutkalu pujeko. Pyanutka pupji.""";"Pero para que sepan que en la tierra el Hijo del hombre tiene autoridad para el perdón de los pecados, (entonces dijo al hombre enfermo): levántate, toma tu cama y vete a tu casa.";"bible"
"Giyagni wale palnatka. Gipji yatka.";"Y él se levantó y se fue a su casa.";"bible"
"Gixolune getanatlu. Pikna. Rumalwutluna Goyakalu, gi rixanu renekyana yine wane rixa gitakletikolupa.";"Pero cuando la gente lo vio, estaban llenos de temor y glorificaban a Dios, que había dado tal autoridad a los hombres.";"bible"
"Wane yiyatka Geso. Retlu satu jeji, girukotlewatachine gijgawenjetikowaka tuplanatachri. Matiyo giwakni. Wane chinru, ""Pomkagitanno."" Palnamtatka. Romkagitatkalu.";"Y cuando Jesús se fue de allí, vio a un hombre que se llamaba Mateo, sentado en el lugar donde se hacían los impuestos; y él le dijo: Sígueme. Y él se levantó y fue tras él.";"bible"
"Wane rixa. Panchi nikjetikowaka tuplanata. Wanena gi gepika gijgawenutachine ga wa kmukochirerune gapokachine. Tuplatna nikjetikowaka Gesoyma ga wa yimaklene.";"Y sucedió que cuando él estaba en la casa tomando comida, vinieron una cantidad de recaudadores de impuestos y pecadores y tomaron su lugar con Jesús y sus discípulos.";"bible"
"Gwariseyone getinna. Wane chinkanna yimaklenni, ""¿Klu chinanu gijgawenutachine ga wa kmukochirerune rumnika gyimakjeru?""";"Cuando los fariseos lo vieron, dijeron a sus discípulos: ¿Por qué tu Maestro toma alimentos con los recaudadores de impuestos y los pecadores?";"bible"
"Yijnakotinitka Geso, wane china, ""Wa gichkolune gi ralukluna kpinrewakleru, seyni wa yayixachinena galikaka.";"Al oír esto, dijo: Los que están sanos no necesitan un médico, sino los que están enfermos.";"bible"
"Gajewa. Gimatanutkalu klunerpiranni. Naluklu getwamonrewlu. Gi wa genekashlu giylatkaluru naluka. Gi rixanu gi nuna ntomgiyapna poyagkakachine seyni kmukochirerune.""";"Pero ve y aprende el sentido de estas palabras: Mi deseo es misericordia, no ofrendas; porque no he venido a llamar a los justos sino a pecadores al arrepentimiento.";"bible"
"Giyagni Gwa yimaklene yayegitlu Geso. Wane chinruna, ""¿Klu chinanu wixa ga wa Gwariseyone gixo kata gogajirewata; ga wa Pixa yimaklene gi gogajirewata?""";"Entonces los discípulos de Juan vinieron a él, diciendo: ¿Por qué nosotros y los fariseos frecuentemente ayunamos, pero tus discípulos no?";"bible"
"Geso wane chinna, ""Gi rumkata wamonuwnaletna wa kashimyolu getachine wannayma rawinikopshini gnunrowatachri, wa xani pixka Gita gimwakopshinna nyimaklene. Seyni runanu pagogne wa gnunrowatachri konkoklunpatka wannayegiya. Waneklu rogajirewatanna wanna.";"Y Jesús les dijo: ¿Los amigos del recién casado estarán tristes mientras él esté con ellos? Pero vendrán días cuando les quitarán al esposo, entonces podrán ayunar.";"bible"
"""Gike gamatlu muchkirgasamatkatuwa mkachritsole. Gi rixanu waleko ramle sama jiprojiklu mkachri. Pnute rixa giskakletanatka.";"Y ningún hombre pone un poco de tela nueva en un abrigo viejo, porque separándose de lo viejo, hace un agujero peor.";"bible"
"Gi koxa wa tsrutsoleji nikchimtamapa rutakgatlona winga gerotga. Wane rixkoklunu tsapkaka gipshekgata. Ga wa wingani tuyokgatana. Salewnanatka tsapni koxa. Seyni gerotmapa rutakgatlona gerotga winga. Gepiko gimretka.""";"Y los hombres no ponen vino nuevo en odres viejos; o las pieles serán reventadas y el vino saldrá, y las pieles ya no tendrán más uso; pero ellos ponen vino nuevo en odres nuevos, y así los dos se conservan.";"bible"
"Runkakiniwana tyepirana, runyegitlu satu gitsrukaachi. Yoptsojityegitlu. Wane chinru, ""Nshichni gajerya tupnanawa. Seyni punanu. Putakamyogontapanro. Tuwekanu.""";"Mientras él les decía estas cosas, vino un gobernante y le rindió culto, diciendo: Mi hija está muerta; pero ven y pon tu mano sobre ella, y ella volverá a la vida.";"bible"
"Palnamta Geso. Romkagimtlu yimakleneyma.";"Y Jesús se levantó y fue tras él, y así lo hicieron sus discípulos.";"bible"
"Wanero sato suxo pamole gepi walapu gigragalewatachro. Gitjimne tyapamtyalu, tkamrukamkaptostsitaplu.";"Y una mujer, que por doce años había tenido un flujo de sangre, vino tras él y puso su mano sobre el borde de su manto.";"bible"
"Gi rixanu wane china walananuko, ""Nkamrukamkatyapjeplu nutukanu.""";"Porque, se dijo a sí misma, si pudiera poner mi mano en su túnica, Voy a estar bien.";"bible"
"Wa Geso giprotaka. Retanatlo. Wane chinro, ""Kiglenshinikanupyi, Wiwi. Palixle gitskalakyi."" Wanekluyakawa tutskalga suxo.";"Pero Jesús, volviéndose y viéndola, dijo: Hija, ten ánimo; tu fe te ha sanado. Y la mujer fue sanada desde esa hora.";"bible"
"Geso gapokatkalu gitsrukaachipji. Retna tumlejitachine ga wa gixolune sejrewnachine.";"Y cuando Jesús entró en la casa del gobernante y vio a los músicos tocando flautas y al pueblo haciendo ruido,";"bible"
"Wane china, ""Gixrikanu. Wa mturo gi wa tupna, seyni tumkanata."" Ruxpiranatluna.";"Él dijo: Apártense; porque la niña no está muerta, sino durmiendo. Y se estaban riendo de él.";"bible"
"Wa gixolune maleka koshpaaka. Jiglokamtatka. Kamrukamyotlo. Tyotunotatka mturo.";"Pero cuando hizo salir a la gente, él entró y la tomó de la mano; y la niña se levantó.";"bible"
"Pogitpiranamtkatka psolchijneko walechijne.";"Y la noticia de esto salió a toda esa tierra.";"bible"
"Wane yiyatnaka Geso. Romkagimtluna gepi maygalene. Saplewjenanumtna. Wane chinna, ""¡Petwamonutanunwu, Tawiklopisha!""";"Y cuando Jesús salió de allí, dos ciegos lo siguieron, gritando: ¡Ten piedad de nosotros, Hijo de David!";"bible"
"Panchi rapokinitka, maygalene ginyegitlu. Ga wa Geso wane chinna, ""¿Galixge numkata wane gixleta?"" Wane chinruna, ""Gigi, Gitsrukaachi.""";"Cuando llegó a la casa, los ciegos se acercaron a él; y Jesús les dijo: ¿Tienes fe en que puedo hacer esto? Ellos le dijeron: Sí, Señor.";"bible"
"Giyagni kamrukaygaletatkana. Wane chinna, ""Galixyawakpotuko gkamrutikotka.""";"Entonces él puso su mano sobre sus ojos, diciendo: Conforme a su fe, hágase en ustedes.";"bible"
"Rumrekgatatkana. Ga wa Geso rujretpotutna. Wane chinna, ""Ggirukotinwa gike gimatanru.""";"Y sus ojos se abrieron. Y Jesús les dijo estrictamente: mira que nadie lo sepa.";"bible"
"Seyni yatkana. Poshalpiranamtluna psolchijneko walechijne.";"Pero ellos salieron y dieron noticias de él en toda esa tierra.";"bible"
"Yinitkana, satu jeji ranikyegitluna myanumatkatu, kamchichachrina.";"Y mientras ellos se iban, vino a él un hombre sin poder hablar, y con un espíritu malo.";"bible"
"Maleka ruknoklu kamchi. Wa myanumanatkatu yanumsatatka. Gixolune giglajita. Wane chinna, ""Gi pagogne Gisrayilichijne retika tye pixkalutu.""";"Y cuando el espíritu malo había sido echado fuera, el hombre pudo hablar; y todos se sorprendieron, diciendo: Nunca se ha visto tal cosa en Israel.";"bible"
"Seyni wa Gwariseyone wane china, ""Kamchi gitsrukate giyakleya maleka ruknokna kamchine.""";"Pero los fariseos decían: Por él príncipe de los espíritus malos, él echa fuera espíritus malos de los hombres.";"bible"
"Papokchimnunanuka yapa Geso, tsru pokchikaka ga wa mtserutu pokchikaka. Runkaklewawaklepjikakna runkaklewananumtya. Runkakletananumtlu Kiglerupotunanu Tokanchi pogirewatyawakapirana. Rutuukakananumtlu pejnuruko yayixlukaka, ga wa pejnuruko gagijewakchi yinyegiya.";"Y Jesús recorría todas las ciudades y lugares pequeños, enseñando en sus sinagogas y predicando las buenas nuevas del reino y curando todo tipo de enfermedades y dolores.";"bible"
"Retna gixolune yine. Retwamonutna, gi rixanu kojwakanshinikanutnawana. Giknookalurune gowegane pixka, girukotapratachri waneyamigjene.";"Pero cuando vio a todo el pueblo, tuvo compasión de ellos, porque estaban turbados y vagando como ovejas sin dueño.";"bible"
"Giyagni wane chinna yimaklene, ""Galikakni gixlu jirgakalurupa. Seyni wa kamrurewaklerune gi gixna.";"Entonces dijo a sus discípulos: Hay mucho grano, pero no hay suficientes hombres para recogerlo.";"bible"
"Giyagni gagjitanru jirgakalurupa Gitsrukate jirgalyegipa yokanatyapna kamrurewaklerune.""";"Entonces, haz la oración al Señor de la cosecha, para que envíe obreros a cosechar su grano.";"bible"
"Pamole gepi yimaklene tomga. Rutakna kamchine puchotlewatachine chinanu maleka ruknokyapna, pejnuruko yayixlukaka rutuukakinripna ga wa pejnuruko gagijewakchi";"Y reunió a sus doce discípulos y les dio el poder de expulsar a los espíritus inmundos y de curar todo tipo de enfermedades y dolores.";"bible"
"Pamole gepi yokanatanune giwakna walenwa: muchinanu Simo wa Petro chinkaluru, ga wa repuru, Gantirishi, ga wa Santiyako, Sewereyo wgene ga wa repuru Gwa;";"Ahora los nombres de los doce son estos: el primero, Simón, que se llama Pedro, y Andrés, su hermano; Santiago, el hijo de Zebedeo, y Juan, su hermano;";"bible"
"Wilipi ga wa Wartolo, Tomasu ga wa Matiyo gijgawenutachri, Santiyako, Galgweyo wgene, ga wa Tateyo.";"Felipe y Bartolomé; Tomás y Mateo, el recaudador de impuestos; Santiago, el hijo de Alfeo y Tadeo;";"bible"
"Simo Kanani gajeru ga wa Gota Giskaryote samyokjerupa.";"Simón el Zelote, y Judas Iscariote, él que también le traicionó.";"bible"
"Geso yokanatatkana nyi pamole gepi. Wane china yokanretna, ""Gi wa payingapoko gyanu. Gi wa Samaritane pokchiko gapokanu.";"Estos doce envió Jesús y les dio órdenes, diciendo: No vayan entre los gentiles, ni a ninguna ciudad de Samaria,";"bible"
"Seyni gowegane gamgachine yegi galikaka gyanu, Gisrayiliklopishane yegi.";"Vayan más bien a las ovejas errantes de la casa de Israel,";"bible"
"Gyinipa ginkaklewananumtanu. Wane nchinanu, 'Tengogne pogirewatyawaka gi gowukatka.'";"Y donde quiera que vayan a predicar, anuncien el reino de los cielos está cerca.";"bible"
"Gituukakananumtanna yayixachine. Gyotunkakananumtanna gipnachine. Mpowratananumtanna gijirgitutachine. Maleka giknokanna kamchine. Genekashatkaluru gyoptota. Genekashlewatanu koxa gixa.";"Sana a los enfermos, resucita a los muertos, limpia a los leprosos, echa fuera espíritus malignos de los hombres; libremente se te ha dado, da libremente.";"bible"
"Gi wa koriko ntapgatanu, gi wa sroschiko; gi wa sintawoko giskotatanu.";"No tomes oro, ni plata, ni cobre en tus bolsillos;";"bible"
"Gi tsapako yagaplu chinanu, gi gepimkaluko, gi yoshmakjixrechishpatako, gi wa kanojerchiko. Gi rixanu wa kamrurewakleru rumkata yoptoletlu nikanru.";"No lleves ninguna bolsa para tu viaje y no tomes dos abrigos, zapatos o un palo: porque el obrero tiene derecho a su alimento.";"bible"
"""Girukokta pokchi gapokanu tsru pokchi ga wa mturu pokchi, gepomlewatanu ginaklu kiglepiranyegirupji. Wane gwanu gyinpotunanuko.";"Y a cualquier ciudad o lugar pequeño que vayas, busca allí a alguien respetado y haz de su casa tu lugar de descanso hasta que te vayas.";"bible"
"Wa panchi gapokinipa galukanna wane gajene.";"Y cuando entres, di: Que la paz sea en esta casa.";"bible"
"Wa panchi gajene rumukane rixinrina, waneyapna gixa giglenunshinikanu. Seyni ma mumuklunu rixinrina giglenunshinikanu satokyegitangi.";"Y si la casa es digna de respeto, tu paz vendrá en esa casa; pero si no, deja que tu paz vuelva a ti.";"bible"
"Katukokta gi yoptotangi, gi yijnaktokanutangi, walepji gyinpatka ga wa wale pokchiya, giplokjiximtanu gistapjixipagi, rumatikolupna.";"Y cualquiera que no quiera acogerlo o escuchar sus palabras, cuando salga de esa casa o de esa ciudad, sacudan el polvo de sus pies.";"bible"
"Galikakni wane nchingi wa gakotkalurupa Sotomachijne, Komorachijne gajenniya wale pokchi gajenni pnute wa giklukanuwnalgognepatka.";"De cierto les digo que será mejor para la tierra de Sodoma y de Gomorra en el día del juicio de Dios que para esa ciudad.";"bible"
"""Xawakni Gita yokanatgi gowegane pixkalungi kewetnanetskala. Giyagni galpokonshinikanutanu gimnune pixka, ga wa myokwirenepgi motkokone pixka.";"Mira, yo los envío como ovejas entre lobos. Sé entonces tan sabio como las serpientes, y tan inocentes como las palomas.";"bible"
"""Ggirukotinwa yineya. Gi rixanu samyokangina jemanshinikankakjetikowaka. Runkaklewawaklepjikakayna kochipjetingina.";"Mas tengan cuidado de los hombres; porque ellos los entregarán a los Sanedrines, y en sus sinagoga los azotarán;";"bible"
"Girukotlewatachine yegi ga wa pogirchine yegi ganiiko Gita chinanupa, gipgujtalewlu chinanu wanna yegi ga wa payine yegi.";"Y vendrán delante de gobernantes y reyes por mí, para testimonio de ellos y de los gentiles.";"bible"
"Wa nsamyookoklunupa gi wa gkojwakanshinikanutinwa gi nchina yanumsaletinripa. Gi rixanu waneklupapko geneeko wane nchinanrupa.";"Pero cuando los entreguen en sus manos, no se preocupen por lo que van decir o cómo decirlo: porque en esa hora lo que han de decir les será dado;";"bible"
"Gi rixanu gi wa gixapni yanumsatachinepgi, seyni Giwekikaluru gixa Girunu gixa gitokote yanumsatini.";"Porque no son ustedes los que pronuncian las palabras, sino el Espíritu de su Padre que está en ustedes.";"bible"
"""Molchi samyokanru gimoleko rupninripa, ga wa girchi gituru. Ga wa wgenchine kamnixanna rurunna ruylatikolupna.";"Y el hermano entregará a su hermano a la muerte, y el padre a su hijo; y los hijos irán contra sus padres y madres, y los matarán.";"bible"
"Gayegixkalunepgi pejnuruneyako Gita giwaka chinanu, seyni wa kashnantakanshinikanutachri yoptukyawakpotunanuko wale gognetkaako.";"Y serán aborrecidos por todos los hombres a causa de mi nombre; pero el que es fuerte hasta el fin tendrá salvación.";"bible"
"Tye pokchiya kojwakingina gasukanu. Papokchi gyanu. Gi rixanu galikakni wane nchingi, gi gnikawna wane yaletanu papokchimnunanuka Gisrayilichijne nma munkanupachi Gita Yineru Wgenno.";"Pero si los persiguen en un pueblo, huye a otro; porque en verdad les digo que no habrán atravesado las ciudades de Israel antes de que venga el Hijo del hombre.";"bible"
"""Yimaklechi gi wa tsrunwa yimaklewatachri pnute. Gi wa wayegrechriko, rutsrukate pnute.";"Un discípulo no es más grande que su maestro o un siervo más que su señor.";"bible"
"Poyagotyalu yimaklechi wa yimakjeru pixka rixinripa, ga wa wayegrechri wa rutsrukate pixka rixinripa. Welsewo chinmakluna kapjiru pnutenapna gipji gajenepni.";"Para el discípulo es suficiente ser como su maestro, y el siervo como su señor. Si le han llamado Beelzebub al dueño de la casa, ¡cuánto más a los de su casa!";"bible"
"""Giyagni gi mpikanna. Gi rixanu maleshlu giyogimatkaluru gi wa mupgujetkotpakni. Maleshlu pochkeruko mumatkotupa.";"No tengan miedo de ellos: porque nada está cubierto que no salga a la luz, o un secreto que no llegue a saberse.";"bible"
"Wane nchinyagi Gita mapshagawakaya, pokamlawakaya wane nchininri gixa. Gijnakpotuko gyijnakotinri, panchi gayiji ginkakletinri.";"Lo que les digo en la oscuridad, díganlo en la luz: y lo que escuchen en secreto, diganlo públicamente desde las azoteas.";"bible"
"Gi mpikanna manchi giylatachine seyni giweklu gi rumkata giylaletna. Seyni Wale galikaka mpikanu giweklu gimkata gamgakakletachri ga wa manchi Gigena xirnachriya.";"Y no teman a los que matan el cuerpo, mas no pueden matar el alma; pero tengan miedo de aquel que tiene el poder de dar alma y cuerpo a la destrucción en el infierno.";"bible"
"¿Gi ge wa ganikajiproji chinanu rushankaka gepi koshichine? Ga wa gi satuna wanna chiji gijruka gixa Giru mwaknu.";"¿No se venden dos gorriones a un cuarto? y ninguno de ellos llega a su fin sin el permiso de su Padre:";"bible"
"Gijiwtsako pejnuruko yantatkalurni.";"Pero todos los cabellos de tu cabeza están contados.";"bible"
"Giyagni gi mpikanu. Kiglepotgi gixa gixo koshichine pnute.";"Entonces no tengan miedo; eres más valioso que una bandada de gorriones.";"bible"
"""Giyagni girukokta gipgujtatanno yineyegiya, Gita koxa gipgujtatanru Nuru tengogne Gajeru yegi.";"A todos, pues, que me dan testimonio delante de los hombres, daré testimonio delante de mi Padre que está en los cielos.";"bible"
"Girukokta ginutatanno yinyegiya, Gita koxa ginutatanru Nuru tengogne Gajeru yegi.";"Pero si alguno dice a los hombres que no me conoce, diré que no lo conozco delante de mi Padre que está en los cielos.";"bible"
"""Gi gkagwakanru nuninri wa tyechijne nutakyaplu kiglegwashle. Gi wa nuna kiglewashle nutakinripa seyni yoglolewapi.";"No piensen que he venido para traer paz a la tierra; No vine a traer paz sino una espada.";"bible"
"Gi rixanu nuna nkotspalatyapna: Jeji wa ruru kamnixinripa, Ga wa tshicho tunro tkamnixinripa, Ga wa tomekanunro tgimajiro tkamnixinripa.";"Porque he venido para traer a un hombre contra su padre, a la hija contra su madre, y a la nuera contra su suegra:";"bible"
"Wa jeji kamnixjene, walepji gajeneko kamnixanru.";"Y el hombre será aborrecido por los de su casa.";"bible"
"""Girukta gi wa galukpotutno ruru, runro pixka pnute, gi wa rumukluno Gita. Girukta gi wa galukpotutno gituru, rushicho pixka pnute, gi wa rumukluno Gita.";"El que tiene más amor por su padre o su madre que por mí no es digno de mí; el que tiene más amor por su hijo o hija que por mí no es digno de mí.";"bible"
"Girukta gi gwanro koroshiteshkita, gi rawgajxigitanno, gi rumukluno Gita.";"Y el que no toma su cruz y viene en pos de mí no es digno de mí.";"bible"
"Girukta gikshika giwekleta, ruwekinri ramginina. Girukta gamtakanru ruwekinri Gita chinanu, rukshika giwekletanu.";"Al que tiene el deseo de guardar su vida, le será quitada, y al que entregue su vida por mí la hallará.";"bible"
"""Gixa yoptotachri, Gita yoptota. Wa Gita yoptotachri nyokanatjeru yoptota.";"El que te honra, me honra; y el que me honra, honra al que me envió.";"bible"
"Tokanchi geneklewatachri giwakaya tokanchi geneklewatachri yoptotachri, wale yoptotanru tokanchi geneklewatachri gapnutikolu. Poyagkakachri giwakaya poyagkakachri yoptotachri, wale yoptotanru poyagkakachri gapnutikolu.";"El que honra a un profeta, en nombre de un profeta, recibirá la recompensa de profeta; y el que honra a un hombre recto, en nombre de un hombre recto, recibirá la recompensa de un hombre recto.";"bible"
"Girukokta genekanru girapistonopje kachiklegalu satu mturu wanna nyi mturune nyimakleru giwakaya, galikakni wane nchingi, gi wa ramga gapnutkotanu.""";"Y cualquiera que le dé a uno de estos pequeños un vaso de agua fría solamente, en nombre de un discípulo, de verdad les digo, él no perderá su recompensa.";"bible"
"Wane rixa. Geso rali towutletatkana pamole gepi yimaklene, wane yiyatka, papokchikaka wannanu yimaklewatinripa ga wa runkaklewatinripa.";"Y sucedió que cuando Jesús terminó de dar estas órdenes a sus doce discípulos, se fue de allí, enseñando y predicando en sus ciudades.";"bible"
"Yoshmakikowaka Gwa yijnakpiranyegityalu Kristo kamrure. Giyagni yokanatna yimaklene Gesyegi.";"Cuando Juan tuvo noticias en la cárcel de las obras del Cristo, envió a sus discípulos.";"bible"
"Wane chinruna, ""¿Pixaklege ginachripyi, waka wkagwakerge satu?""";"Para decirle: ¿Eres tú el que ha de venir, o estamos esperando a otro?";"bible"
"Rugita Geso. Wane chinna, ""Gajewa. Ginkakapanru Gwa gyijnakotanrukakaya ga wa getanrukakaya.";"Respondiendo Jesús, les dijo: ve, y hazle saber a Juan de lo que están viendo y oyendo:";"bible"
"Maygalenenanu getatka. Ga wa myankanenanu yanatka. Ga wa gijirgitunatachine powratkatka. Ga wa majnakonenanu jemashatatka. Ga wa gipnachine yotunkaaka. Ga wa kwamonurune yegi runkakletika Kiglerpotunanu Tokanchi.";"Los ciegos ven; aquellos que no podían caminar, están caminando; los leprosos están limpios; aquellos que no escuchaban, ahora tienen los oídos abiertos; los muertos vuelven a la vida y los pobres reciben las buenas nuevas.";"bible"
"Giglenshinikanyegitkaluru mutspetkatu Gitaya.""";"Y una bendición será sobre aquel que no pierde su confianza en mi.";"bible"
"Yanananumtinna, Geso yinuwaka ginkakletna gixolune yine Gwapirana, ""¿Kluneru getapa yineru mwiyawakanuya? ¿Satu kapanrege kannipgyalu kowshikanrurge?";"Cuando se iban, Jesús, hablando de Juan, dijo a todo el pueblo: ¿Qué salieron a ver en el desierto ? un tallo alto moviéndose en el viento?";"bible"
"Seyni ¿kluneru getapa? ¿Satu jeji popchimkalurege gitakachri? Gike. Pogirchinepji rawna popchimkalu gitakachine.";"Pero ¿qué salieron a ver? un hombre delicadamente vestido? Aquellos que tienen túnicas delicadas están en casas de reyes.";"bible"
"Seyni ¿klu chinanu wane gyapa? ¿Satu tokanchi geneklewatachrirge getapinripa? Gigi, wane nchingi. Tokanchi geneklewatchri pnute.";"Pero ¿por qué salieron a ver? a ver a un profeta? Sí, les digo, y más que un profeta.";"bible"
"Gi rixanu walenwa yonpiranyegitkaluru: Petanu. Gita yokanatlu notowreru pixa penute. Wale galpokotanru patnugapote pixa penute.";"Este es aquel de quien se ha dicho: Mira, envío a mi siervo delante de tu rostro, que preparará tu camino delante de ti.";"bible"
"""Galikakni wane nchingi, gi wa rupgujewna satu suxo gishpakyachri, Gwa Katlewakleru pnute tsru. Seyni wa mtserutu potu tengogne pogirewatyawakaya tsruni Gwa pnute.";"De cierto, de cierto os digo, que entre los hijos de las mujeres no ha habido mayor que Juan el Bautista; pero el más pequeño en el reino de los cielos es mayor que él.";"bible"
"Gwa Katlewaklerukluyakawa ga wa xanigognenanu tengogne pogirewatyawaka muchkowyegitka. Muchkowatachine kashichlu.";"Y desde los días de Juan el Bautista hasta ahora, el reino de los cielos se está forzando a entrar, y los hombres a la fuerza lo toman.";"bible"
"Gi rixanu pejnuruneko tokanchi geneklewatachine ga wa tokanchi yokanatkaluru Gwaklupotunanuko runkakletpiranatluna.";"Porque todos los profetas y la ley estuvieron vigentes hasta Juan.";"bible"
"Galuka yoptoletiniplu walenwa Giliya wa ginachripa.";"Y si quieren verlo, este es Elías quien vendría.";"bible"
"Girukokta kajnakopnapa wa yijnakotinripa, yijnakotanu.""";"El que tiene oídos para oír, que oiga.";"bible"
"Geso gomkagi wane chinretna, ""¿Giru pixka nutakanna nyi gimuweekakgognenatachine? Mturune pixka, giputu tuplanatachine, rupxalunna tomsanatachine.";"¿Pero qué comparación puedo hacer de esta generación? Es como niños sentados en los mercados, gritando unos a otros,";"bible"
"Wane chinna: Wtumlejyegitgi. Gi wa gansata gixa. Wamonuwata gixa yegi. Gi wa nchiyagjeta gixa. ""Wa gimatkalewlu potukalu gekakgitka kamrureya.""";"Hicimos música para ti y no participaste en el baile; Lanzamos gritos de dolor y no hiciste ningún signo de dolor.";"bible"
"Giyagni Geso yinuwaka chigetjeretna pokchikaka gajene. Wale chinanu chigetjetna gi rixanu wanna getanmaklu gixo potu ruyaklewle kamrujetyawaka. Ga wa retmakluna, gi waleko renshinikanutyana. Wane china chigetjeretyana,";"Luego pasó a reprender a las ciudades donde se hicieron la mayoría de sus milagros, porque no se habían apartado de sus pecados.";"bible"
"""¡Gi waneni pixa Korasi pokchi! ¡Gi waneni pixa Wetsayta! Gi rixanu Tiro pokchiniya ga wa Sito pokchiniya wanepmaklu giyaklewlukaka nkamruyegityagi gixa, wannanimka muchikawako renshinikanutannimkana. Kawshistugalu mkachrimka rutakmanetinnimkawanna ga wa chichipagimka rutakmanetinnimkawana.";"Ay! De ti, Corazin! Ay! de ti, Betsaida! Porque si los milagros que se hicieron en ustedes hubieran sido hechas en Tiro y en Sidón, en tiempos pasados habrían sido apartadas de sus pecados en cilicio y en ceniza.";"bible"
"Ga wa wane nchingi, Tiro ga wa Sito pnute salewnalenapgi gixapni giklukanuwnalugognepa.";"Pero yo les digo que será mejor para Tiro y Sidón en el día de juzgar que para ustedes.";"bible"
"Ga wa pixa Kapernawo, tengognepotunanuko pixka putaaka. Ga wa gipnachine gwiyawakapotunanuko pixka putaako. Gi rixanu wa Sotoma gajene yegi kamrutikomka giyaklewlu pixa yegi kamrutikaluru, xanigognenanumka rutukna.";"Y tú, Capernaum, ¿crees que serás levantada hasta el cielo? descenderá hasta lo más hondo del infierno, porque si los milagros que se hicieron entre ustedes hubieran sido hechos en Sodoma, habría estado aquí hasta el día de hoy.";"bible"
"Ga wa wane nchingi wa gakotkalurupa Sotomachijne gajenniya gixa pnute wa giklukanuwnalgognepatka.""";"Pero yo les digo que será mejor para la tierra de Sodoma en el día de juzgar, que para ustedes.";"bible"
"Walegogne Geso wane china, ""Numalwutyi, Nuru, tengogne Gitsrukate ga wa chiji, tyepirankaka Pixa yogimatyana kgimatkalerune ga wa kanshinikanurune, ga wa mturune pekakgita.";"En aquel tiempo, Jesús respondió y dijo: Te alabo, oh Padre, Señor del cielo y de la tierra, porque has ocultado a los sabios y de los entendidos estas cosas, y las has manifestado a los niños pequeños.";"bible"
"Gigi, Nuru, gi rixanu wane Pixa gigleretle getletlu.";"Sí, Padre, porque fue agradable a tus ojos.";"bible"
"""Ptowruko samyokno Nuru. Gikena gimatlu Gituru, seyni Girchipje gimatlu. Gikena gimatkoxlu Girchi, seyni Giturupje ga wa girukokta raluka gekakgireta Gituru.";"Todas las cosas me han sido dadas por mi Padre; y nadie tiene conocimiento del Hijo, sino el Padre; y nadie tiene conocimiento del Padre, sino el Hijo, y aquel a quien el Hijo lo quiera revelar.";"bible"
"""Ginanu Gita yegi, pejnurunekgi gama kamrurewletachingi, gitjitachingi. Gita gapnankakanutkagi.";"Vengan a mí, todos ustedes que están atribulados y cargados con trabajo, y les daré descanso.";"bible"
"Gikamrurewatinno. Gimatinno. Gi rixanu mayogotno Gita. Mturu gixnachriwano najiya. Ga wa gikshikanru gapnanunshinikanutinripa.";"Acepten mi yugo sobre ustedes y aprendan de mí, porque soy gentil y sin orgullo, y tendrán descanso para sus almas;";"bible"
"Gi rixanu myapretni gikamrurewatinipno. Ga wa nutjitanru munotni.""";"Porque mi yugo que les pongo es fácil, y mi carga que les doy ligera.";"bible"
"Walegognekaka sana yapanata Geso gapnanutikalurugogne. Yimaklene nachi. Yinuwaka sustakagwuremtluna gitaklugwu. Nikluna.";"En ese momento, Jesús recorrió los campos en el día de reposo; y sus discípulos, que tenían hambre, y empezaron arrancar espigas de trigo y comían.";"bible"
"Gwariseyone getanata. Wane chinruna, ""Petanna. Gapnanutikalurugogneko ginanshichkalurni kamrutna pyimaklene.""";"Pero los fariseos, cuando lo vieron, le dijeron: Mira, tus discípulos hacen lo que no es correcto hacer en sábado.";"bible"
